query_label,query,published,published_month,title,publisher,link,silhouette_hits,brand,extracted_release_date,is_upcoming
sil_siren_slide,Crocs Siren,2023-08-24T07:00:00,2023-08,The Feng Chen Wang x Crocs Collection Releases September 1 - Sole Retriever,Sole Retriever,https://news.google.com/rss/articles/CBMipgFBVV95cUxOMHV6NlpWMkdld1Z1V3NaWUdveFFCTGpMdlNvNms4TGw4OGVlOVhwcl9aVjNlMG1MQ1hCUHk1cEt4Rm1SMThiWndTb0Yxd2h0dWFxR2VzUndyTW50dnFZaEFYMG9KdzJaVWl5UVhpZXdaS0JidmJ2Nm5XaTVWak94SUk1d2tndFctWVdGdzFDeDhEWEl5aENmSUJoa0hkNWc0cXQwS0xn?oc=5,,Crocs,2026-09-01,True
crocs_releases,"""Crocs"" (release OR drop OR launch OR collab)",2025-08-18T07:00:00,2025-08,The First Wave Of NFL Crocs Drops On September 18th - Sneaker News,Sneaker News,https://news.google.com/rss/articles/CBMie0FVX3lxTE81Nkhid2taN0twVm9lTk5XMGR6YXMwM3RNOW0zZTYwWmoyNWYwR3h3LTl0bEk2akRGMEg5NTdlRjJicWZuZGk0QnNzWC1WOHdVaUd0X20tMXlsYV8tdXFwVDdiY3JCQS0yV1RtQjBZNTVIMXZtajQ0cUlHd9IBe0FVX3lxTE81Nkhid2taN0twVm9lTk5XMGR6YXMwM3RNOW0zZTYwWmoyNWYwR3h3LTl0bEk2akRGMEg5NTdlRjJicWZuZGk0QnNzWC1WOHdVaUd0X20tMXlsYV8tdXFwVDdiY3JCQS0yV1RtQjBZNTVIMXZtajQ0cUlHdw?oc=5,,Crocs,2026-09-18,True
sil_stomp_clog,Crocs Stomp Clog,2024-09-17T07:00:00,2024-09,Wednesday x Crocs Stomp Clog Releases September 2024 - Sneaker Bar Detroit,Sneaker Bar Detroit,https://news.google.com/rss/articles/CBMiaEFVX3lxTE9JcU10c1dkQ1VnMlZMT2N0QjBoQm9kc2hzNUtGSC1sTzcxelhVejNpSDBTeC1oLUZmeFFEdXZXRUpTOHA3WEp1d2VGelZ2ZXpYVWpwU0RlTGVnWkF1MW9MemdVcFI0Y1FK?oc=5,stomp_clog,Crocs,2026-09-20,True
sil_classic_boot,Crocs Classic Boot,2023-10-04T07:00:00,2023-10,The Crocs Classic Cowboy Boot Releases October 2023 - Sole Retriever,Sole Retriever,https://news.google.com/rss/articles/CBMimwFBVV95cUxPLWdxaDhhcTktalFQd1lodFRUanlUSXRETnlqc2pJbWV5NjF0TGk5NjRfZ3JuS0daQi0xbW1PUEQtdGY0WUtYQTRwZDBkem9obnhZX1NOOUxuV0hHWmxybExveU1aUjFJb1Q5SWFRVzItME5oSG94REVKenlLcVNzR243Uy1VYXVoTDU2LVAxZzNQdnJnbzMxdzRXNA?oc=5,,Crocs,2026-10-20,True
sil_stomp_clog,Crocs Stomp Clog,2024-10-24T07:00:00,2024-10,Fortnite x Crocs Stomp Lined Clog “Cuddle Team Leader” Releases October 2024 - Sneaker Bar Detroit,Sneaker Bar Detroit,https://news.google.com/rss/articles/CBMiiAFBVV95cUxQdUxMNzFGZlAtQXFzMUhreFd0Zm9oX1ZaSVZGN1BqTlhwZkY5WjRZdWNvYm1sSXpNbU5qNU1fSXlyQzZobUM0ZTdSVVVwN0ZwTWVjRjJ4UEtQMk1DV2dyUDJOaTM5dktYYkF2WGlvX1dsWklEYlJkSUdhNndybGx1T1lNZHludnpK?oc=5,stomp_clog,Crocs,2026-10-20,True
sil_mellow_slide,Crocs Mellow,2023-10-18T07:00:00,2023-10,The ROA x Crocs Pack Releases October 2023 - Sole Retriever,Sole Retriever,https://news.google.com/rss/articles/CBMijAFBVV95cUxPaldTMDlEdkVKdGVVNGpWVHluZUp2TUJwS0Q2cG90al9rU1RPWjRNMEQtOWVWUFZTNWJLbFd3akc1UVVJcV9rNnJQU3pqTVctam1yZ1dsRHpUMXI0eTRXekxndXlZVktGa0w4azBJY281NkdXcXRzZEZpV0dkbVVtRmlzYTBydWFleGowTw?oc=5,,Crocs,2026-10-20,True
sil_pollex_pod,Crocs Pollex Pod,2023-11-06T08:00:00,2023-11,Salehe Bembury’s “Yolk” Crocs Pollex Clog Sees Wider Release On November 17th - Sneaker News,Sneaker News,https://news.google.com/rss/articles/CBMiiwFBVV95cUxOMFplcDlia0FNMm9CSGE5REpoYnhxNmY0NkxsYVFhY2FhZVRqaHNod2t0UzdoSlFYUWZrWUxDejBzOVV3ZE9vQXBONHpIUGZmS3JuTHB2NVl6M1laUkM0SDFscjlPZmNzQ1BUWVdQQ2ViUENYelBNelBmcnRqNzdoWTRTS2VYaUROUENR0gGLAUFVX3lxTE4wWmVwOWJrQU0yb0JIYTlESmhieHE2ZjQ2TGxhUWFjYWFlVGpoc2h3a3RTN2hKUVhRZmtZTEN6MHM5VXdkT29BcE40ekhQZmZLcm5McHY1WXozWVpSQzRIMWxyOU9mY3NDUFRZV1BDZWJQQ1h6UE16UGZydGo3N2hZNFNLZVhpRE5QQ1E?oc=5,pollex_pod|pollex_clog,Crocs,2026-11-17,True
sil_pollex_clog,Crocs Pollex Clog,2022-11-13T08:00:00,2022-11,The Crocs Pollex Sasquatch Clog Drops November 18th - Sole Retriever,Sole Retriever,https://news.google.com/rss/articles/CBMiuwFBVV95cUxOSTJVVWZLYXA1N2dWRjFqVXdVdnV6QVdMX2RueW4yNXdyQWNfR1JZMDRpczF1cVdVQ1NscGlDXzAwUm1zUlg5NFpwRUpTSzFFWjJVTy1FRTlCazE0LW0zbXhTZlhUN2VBVHY3Tm4wUHh4QTM2OGk5VVRrVGR5Y3RfMWRiN1NlYmJ3Z1hIVkQyYnFoNjVIUERTekl1N2Exck9ZbVhaUFJKSHlCcjFFTTFOMjdaUUFxZW1fd0c4?oc=5,pollex_pod,Crocs,2026-11-18,True
sil_classic_cozzzy,Crocs Cozzzy,2023-11-13T08:00:00,2023-11,McDonald’s x Crocs Collection Releases November 2023 - Sneaker Bar Detroit,Sneaker Bar Detroit,https://news.google.com/rss/articles/CBMib0FVX3lxTFA3TUUtM0d4TzE0Y0FkeWs2bGlzQVNHWTRoQ0FZbUE1MHRCcDR3VTVmck5NbjY5b0ZWS3lDWUVzMk44djFNUmxCaGl0OUpBSXVycDhSbldpNXQzdUVycjlGV3pLN2FfMnREa2pMeElpZw?oc=5,,Crocs,2026-11-20,True
crocs_releases,"""Crocs"" (release OR drop OR launch OR collab)",2025-09-19T07:00:00,2025-09,Steven Smith’s Foam Runner-Esque Crocs Clog Releases December 5th - Sneaker News,Sneaker News,https://news.google.com/rss/articles/CBMia0FVX3lxTFBFMnJfYkh0SGJEeHdROVFXVUF0enVwU2FtcXVfNlpJSUZkaXhqQ0R6WDFIdF95VHpiU1J1MTJYMEVQWkl6RlluQWgxWmw4bC02MDI2Zld0bGotU1RYNThvVEt1UDJHam9Mc2F30gFrQVVfeXFMUEUycl9iSHRIYkR4d1E5UVdVQXR6dXBTYW1xdV82WklJRmRpeGpDRHpYMUh0X3lUemJTUnUxMlgwRVBaSXpGWW5BaDFabDhsLTYwMjZmV3Rsai1TVFg1OG9US3VQMkdqb0xzYXc?oc=5,steven_smith_line,Crocs,2026-12-05,True
crocs_designer,"""Crocs"" (Steven Smith OR Salehe Bembury OR designer)",2025-12-02T08:00:00,2025-12,Steven Smith’s Crocs Ripple Design Releases December 5th - Sneaker Bar Detroit,Sneaker Bar Detroit,https://news.google.com/rss/articles/CBMiXkFVX3lxTFBBZTZxV3hPd1hlSFBBT3ZfaGoydFZYNDR5THhtVWxlZ3lZaVhLaFZlMHZ4dnpyUGlSZlE4V3VkWVZIS1F5MG5aU3VhaF9wX3dvUnhlUnJuem00cW5MdkE?oc=5,steven_smith_line,Crocs,2026-12-05,True
sil_pollex_clog,Crocs Pollex Clog,2021-11-17T08:00:00,2021-11,The First Salehe Bembury x Crocs Pollexs Release December 14th - Sole Retriever,Sole Retriever,https://news.google.com/rss/articles/CBMikwFBVV95cUxNVXRLbUNLWHcwcEJkdDhkdG9tNDBnZnFibG44OXBlYTlfdktKTnBnRV9GNEpxZU9KN1I4WUJfXzhTSkczblRPSDAzclYtc055a29IWGp6dWtmZTJETWppQUxVZGJOZVBQZWZ1RW05RUk5ZThQMkdCVzdUNHNOaHc2b1Bub2pMUzIxUjJCODgtWkxlUnM?oc=5,pollex_pod,Crocs,2026-12-14,True
sil_mega_crush_clog,Crocs Mega Crush,2023-11-30T08:00:00,2023-11,The Lil Nas X x Crocs Mega Crush Clog Releases December 2023 - Sole Retriever,Sole Retriever,https://news.google.com/rss/articles/CBMipAFBVV95cUxPYVNNRlktejM5VnZzUS1sTzBXQ3JqVzhzOG9zVUk0TThVdXU1N25XXy1CMW9BVDNmY3NJVHlUa3lwcXEwNHI0a0JqNTBaLVA1TUw3WUlxc1VhT1RoTkdRZlZuRGZlRFVTREc3VjhQTHF1N0RPZFNkYTNGaGZDU3FjenpLUi1xa3VfUWl0OEo0ZEYyMTJOelBaR19aUmZESUd4Nnc2WQ?oc=5,mega_crush_clog,Crocs,2026-12-20,True
sil_stomp_boot,Crocs Stomp Boot,2026-02-01T08:00:00,2026-02,LEGO X Crocs Brick Shoes Drop February 16 - Resell Calendar,Resell Calendar,https://news.google.com/rss/articles/CBMiiwFBVV95cUxPY0JNYTBtQ3lNZERYRTZ4N3h1em9tM2JTRFZ3Y3h6bkxLNGpyS0NIRXBjLXFPaTQ5cHl5ejVxTDhYOGtlVkRuaVNrb3dkeXdyUmV1RTlqa3ZueTRlMFUzUlRVVzQ0eVlKam0zVjZQWlNkX3NOdHBjQlBrTml0R1JfdTFXVGtSV3pwSkh3?oc=5,,Crocs,2027-02-16,True
sil_pollex_clog,Crocs Pollex Clog,2024-02-11T08:00:00,2024-02,The Futura Laboratories x Salehe Bembury Crocs Pollex Clog Releases February 2024 - Sole Retriever,Sole Retriever,https://news.google.com/rss/articles/CBMiwAFBVV95cUxPMGxsQjlqek5haXZiMWl3cXgyNURHR3VHT3JKM281RVhrbTV0Rl9nMUN4WTBhUldOVUFlX284UFJLZHVuRm1saHJuYXdqYkxtT0N4WlkzaFBxbWhVY3BWd1FfNGQ0bmhsWG5PdnNXUU1oTkJRMHBFbklvSUUxcnZjb1h4SXM5WVotZHkxVkdrQVBQLUlNemYtS1l0UG5CU1I2anNBYllDRTNsS25oekRhMndmT0JrRmttRlhYM2U2bGc?oc=5,pollex_pod|pollex_clog,Crocs,2027-02-20,True
sil_echo_wave,Crocs Echo Wave,2025-01-31T08:00:00,2025-01,The Dragon Ball Z x Crocs Echo Clog Vegeta Releases February 2025 - Sole Retriever,Sole Retriever,https://news.google.com/rss/articles/CBMirwFBVV95cUxPUExDTFFYdGRWTW1hejhWZzVfN0c1UUxjZUwwRVFYMlNqUVNDakpmQ0VDLXZPU1J6emY2ZHYtWDhNc2dtUHJrZExsYndZZXB1d3VoNEJRb1czQmRKQ29wZE05RWZSdlFRZFBRVkhUUjBEenRaTUwyd3hLUjFJNmxfVDZERHJQTnMyQVkwdXVlb1ROR2tjU3JIWXd4UHpiR3ktWElPRTRYX3pGblZlc25V?oc=5,echo_clog,Crocs,2027-02-20,True
sil_classic_cozzzy,Crocs Cozzzy,2025-02-06T08:00:00,2025-02,The Monsters Inc. x Crocs Cozzzy Sandals Sulley Releases February 2025 - Sole Retriever,Sole Retriever,https://news.google.com/rss/articles/CBMitAFBVV95cUxPd3pDTzR5QjZUdVp2WC1MNVM1dThVdWhodjQyNm1LT2tfVXB2RGx6dG5DRHdlTG1jNVNiVGhVdm5kVnd1TFlMQTM1cW5ITF9aYWZURTBMVFBoQUQtY2R5SWw2LThuQm1nWEhoRm5XSXpGWm11OEhtbVhfcXB2QkpLelJnNmV4bTFmS0VWTU5uczdhOXkyRlo2X0k0ZGlzd3ZtQTVfYmZVdHBtWWZLZjhyb3J3alE?oc=5,classic_cozzzy,Crocs,2027-02-20,True
sil_steven_smith_line,Steven Smith Crocs,2026-03-04T08:00:00,2026-03,The Crocs Ripple Clog “Neon Ocean” Releases March 5th - Sneaker News,Sneaker News,https://news.google.com/rss/articles/CBMijgFBVV95cUxOb3FoNk05X1JVTDQ0S1RpX0xxT2JYTm5LX1NpWlhjZVN3X2NQYWtTeTZmVHBiTXRKd1NxSFA3aGxYczl3UmJTTW9BRnNoSUdPSExhOEhqek9idWVOb3RzQVlrOEpXQ1lqTHR5b3VtTkdzM05YY3BlLXIwZXpSZzh0UVRuN1NNVWZfMEQ5aDRR0gGOAUFVX3lxTE5vcWg2TTlfUlVMNDRLVGlfTHFPYlhObktfU2laWGNlU3dfY1Bha1N5NmZUcGJNdEp3U3FIUDdobFhzOXdSYlNNb0FGc2hJR09ITGE4SGp6T2J1ZU5vdHNBWWs4SldDWWpMdHlvdW1OR3MzTlhjcGUtcjBlelJnOHRRVG43U01VZl8wRDloNFE?oc=5,,Crocs,2027-03-05,True
sil_steven_smith_line,Steven Smith Crocs,2026-03-04T08:00:00,2026-03,Crocs Ripple Clog “Neon Ocean” Releases March 5th - Sneaker Bar Detroit,Sneaker Bar Detroit,https://news.google.com/rss/articles/CBMihwFBVV95cUxQbllyMFgzSlJibm5rVkZOZWVncE9IWXFfam1pSUhLdmhuekREemhYb0JrVUh6X0x3ZG5yYWRCdjA2TFpna21NSHR4b2w0MmVsZXppcG1UdVBSU0VNYWdtcVo1WWNYTFVZSURMM3lDTjZTcE5pZmo5NHRlSFZGelF4WUhXZnlaeW8?oc=5,,Crocs,2027-03-05,True
